year_month,month_of_release,direction,citizenship,visa,country_of_residence,mean_estimate,standard_error,status
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Australia,415,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Austria,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Bahrain,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Canada,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,"China, People's Republic of",2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Denmark,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,France,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Hong Kong (Special Administrative Region),1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,India,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Ireland,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Japan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Laos,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Not Stated,13,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Qatar,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,South Africa,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Spain,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Taiwan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,TOTAL,484,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,United Kingdom,16,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,United States of America,13,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Afghanistan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Algeria,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Cambodia,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Canada,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Chile,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,"China, People's Republic of",3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Fiji,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,France,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Germany,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,India,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Indonesia,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Japan,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,"Korea, Republic of",7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Lebanon,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Netherlands,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Not Stated,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Papua New Guinea,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Peru,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Philippines,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Russia,7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Samoa,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Saudi Arabia,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Slovenia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Thailand,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Tonga,15,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,TOTAL,97,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,United Arab Emirates,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,United Kingdom,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,United States of America,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Viet Nam,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Afghanistan,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Albania,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Australia,36,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Austria,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bahamas,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bahrain,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bangladesh,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bermuda,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Brazil,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Burundi,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Cambodia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Canada,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,"China, People's Republic of",203,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Colombia,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Croatia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Ecuador,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Egypt,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Ethiopia,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Fiji,16,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,France,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Georgia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Germany,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Hong Kong (Special Administrative Region),6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,India,69,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Indonesia,13,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Iran,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Iraq,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Ireland,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Japan,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Jordan,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Kiribati,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,"Korea, Republic of",19,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Laos,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Lebanon,46,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Malaysia,48,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Mexico,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Myanmar,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Nepal,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Netherlands,7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Nicaragua,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Norway,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Not Stated,189,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Oman,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Pakistan,35,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Philippines,75,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Qatar,11,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Russia,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Samoa,176,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,"Samoa, American",2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Saudi Arabia,14,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Serbia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Singapore,35,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Slovenia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Somalia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,South Africa,49,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Sri Lanka,12,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Sweden,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Switzerland,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Syria,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Taiwan,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Tanzania,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Thailand,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Tonga,25,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,TOTAL,1372,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Turkey,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Tuvalu,12,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Ukraine,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,United Arab Emirates,24,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,United Kingdom,82,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,United States of America,31,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Viet Nam,10,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Zimbabwe,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Argentina,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Australia,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Austria,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Belarus,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Brazil,43,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Brunei Darussalam,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Cambodia,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Canada,7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Cayman Islands,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Chile,11,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,"China, People's Republic of",391,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Colombia,31,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Costa Rica,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,"Czech Republic (to Sep 2018), Czechia (from Oct 2018)",2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Denmark,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Estonia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Fiji,54,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Former Yugoslav Republic of Macedonia (FYROM),3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,France,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,French Polynesia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Germany,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Ghana,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Honduras,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Hong Kong (Special Administrative Region),9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,India,351,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Indonesia,25,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Iran,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Ireland,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Israel,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Japan,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Kazakhstan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Kiribati,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,"Korea, Republic of",34,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Kuwait,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Kyrgyzstan,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Lebanon,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Lithuania,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Malawi,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Malaysia,15,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Mexico,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Morocco,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Nepal,17,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Netherlands,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,New Caledonia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Not Stated,56,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Oman,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Pakistan,7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Papua New Guinea,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Peru,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Philippines,183,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Poland,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Qatar,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Russia,18,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Samoa,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Saudi Arabia,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Seychelles,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Singapore,12,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Slovakia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Solomon Islands,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,South Africa,108,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Spain,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Sri Lanka,47,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Sweden,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Switzerland,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Taiwan,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Thailand,32,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Timor-Leste,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Tonga,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,TOTAL,1731,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Ukraine,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,United Arab Emirates,11,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,United Kingdom,49,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,United States of America,36,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Uzbekistan,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Vanuatu,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Viet Nam,48,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Student,Zimbabwe,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Afghanistan,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Albania,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Algeria,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Argentina,100,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Australia,591,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Austria,10,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Bahamas,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Bahrain,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Bangladesh,10,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Belarus,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Belgium,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Belize,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Bermuda,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Bosnia and Herzegovina,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Brazil,175,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Brunei Darussalam,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Bulgaria,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Burkina Faso,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Burundi,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Cambodia,21,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Canada,101,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Cayman Islands,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Chile,55,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,"China, People's Republic of",1252,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Colombia,37,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Cook Islands,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Costa Rica,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Croatia,10,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Cyprus,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,"Czech Republic (to Sep 2018), Czechia (from Oct 2018)",16,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Denmark,10,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Dominican Republic,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Ecuador,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Egypt,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Estonia,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Ethiopia,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Fiji,245,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Finland,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Former Yugoslav Republic of Macedonia (FYROM),5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,France,55,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,French Polynesia,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Georgia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Germany,82,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Ghana,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Greece,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Guam,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Honduras,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Hong Kong (Special Administrative Region),41,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Hungary,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,India,947,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Indonesia,67,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Iran,25,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Iraq,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Ireland,44,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Israel,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Italy,12,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Japan,91,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Jordan,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Kazakhstan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Kenya,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Kiribati,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,"Korea, Republic of",150,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Kuwait,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Kyrgyzstan,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Laos,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Latvia,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Lebanon,49,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Lithuania,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Macau (Special Administrative Region),2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Malawi,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Malaysia,118,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Malta,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Mauritius,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Mexico,11,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Moldova,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Montenegro,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Morocco,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Myanmar,7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Nepal,50,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Netherlands,23,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,New Caledonia,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,New Zealand,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Nicaragua,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Nigeria,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Norway,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Not Stated,404,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Oman,16,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Pakistan,61,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Papua New Guinea,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Peru,11,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Philippines,708,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Poland,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Portugal,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Puerto Rico,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Qatar,36,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Romania,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Russia,53,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Samoa,224,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,"Samoa, American",6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Saudi Arabia,69,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Senegal,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Serbia,7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Seychelles,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Singapore,101,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Slovakia,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Slovenia,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Solomon Islands,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Somalia,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,South Africa,511,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Spain,19,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Sri Lanka,118,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Sweden,9,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Switzerland,15,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Syria,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Taiwan,31,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Tanzania,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Thailand,83,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Timor-Leste,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Tonga,95,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,TOTAL,8402,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Turkey,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Tuvalu,12,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Ukraine,10,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,United Arab Emirates,98,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,United Kingdom,596,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,United States of America,334,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Uruguay,19,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Uzbekistan,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Vanuatu,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Viet Nam,108,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Zambia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,TOTAL,Zimbabwe,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Visitor,Afghanistan,3,0,Provisional
